A:char(25)	B:char(25)	C:int	D:int	E:char(25)
New_Jersey	Ethiopia	4	46	Human
Ohio	CZECH_REPUBLIC	2	45	Poroderma
Alabama	Tuvalu	1	61	Giant_Panda
Florida	Louisiana	9	22	Gerbil
Hawaii	Sudan	6	60	Goose
Ohio	Tuvalu	2	8	Hawk
Connecticut	Denmark	7	40	Carcharhinus
New_York	Ecuador	1	49	Squaliformes
Connecticut	Alabama	9	85	Cirrhoscyllium
Michigan	Massachusetts	6	64	Triaenodon
Maryland	New_Mexico	9	85	Jaguar
Texas	Uganda	4	36	Peafowl
Idaho	Taiwan	1	24	Squaliformes
Colorado	Turkey	2	75	Giant_Panda
Nevada	Maine	6	25	Hemitriakis
Tennessee	Colombia	1	96	Hamster
Alaska	Nepal	3	63	Swan
West Virginia	Georgia	9	18	Mallard
New_Mexico	New_Jersey	1	45	Coccinellidae
Michigan	Netherlands	6	2	Angel_shark
Mississippi	Zambia	3	72	Cormorant
Indiana	Zimbabwe	2	98	Chamois
Alabama	Jordan	1	91	Sawshark
South_Dakota	Wisconsin	2	9	Pygmy_Shark
Utah	Kiribati	8	66	Dogfish
Hawaii	Slovakia	6	73	Raven
Georgia	Croatia	9	96	Beaver
Arizona	EL_SALVADOR	5	91	Gazelle
Alaska	EL_SALVADOR	9	30	Sawshark
Nevada	Sudan	2	72	Hemiscyllium
Alaska	NEW_ZEALAND	1	64	Squaliformes
Kansas	Nigeria	2	40	Coyote
Indiana	Japan	1	66	Reindeer
Oregon	Alaska	8	34	Ostrich
Utah	Minnesota	1	36	Sphyrna_lewini
Oregon	Alabama	2	45	Giant_Panda
Mississippi	Kiribati	4	72	Chiloscyllium
Florida	Texas	8	71	American_Bison
Nebraska	Canada	8	59	Giraffe
North_Carolina	Sudan	3	27	Dolphin
Mississippi	South_Carolina	2	63	Cheetah
California	NEW_ZEALAND	1	74	Giraffe
South_Carolina	Rhode_Island	2	36	Manatee
Ohio	Malawi	3	80	Prionace_glauca
Maine	Washington	9	59	Pelican
Oklahoma	Samoa	2	52	Swan
Wyoming	MARSHALL_ISLANDS	0	9	Raven
Virginia	DOMINICAN_REPUBLIC	3	14	Jackal
Louisiana	Uganda	9	0	Heron
Montana	Dominica	9	65	Gazelle
Kansas	Turkey	7	4	Moose
Arizona	Spain	6	4	Hyena
Michigan	Uzbekistan	5	56	Sawshark
Pennsylvania	Latvia	2	33	Parmaturus
Hawaii	Switzerland	6	16	Guanaco
Missouri	Illinois	6	74	Alligator
New_Mexico	Oregon	0	61	Hornet
Kentucky	Grenada	4	21	Mouse
Vermont	New_Jersey	3	62	Raven
South_Carolina	Lithuania	9	82	Pelican
West Virginia	Madagascar	1	55	Angel_shark
Missouri	New_Jersey	6	1	Bullhead_shark
West Virginia	Tennessee	7	95	Triakis
Alaska	Louisiana	5	86	Coyote
Maryland	Nepal	8	96	Pristiophorus
Tennessee	Monaco	7	30	Sawshark
New_Mexico	EQUATORIAL_GUINEA	2	15	Rhinoceros
New_Hampshire	Alaska	4	20	Snipe
Idaho	Virginia	9	35	Coccinellidae
Wisconsin	Cyprus	7	98	Gazelle
Oklahoma	Slovakia	6	23	Poroderma
Michigan	Zimbabwe	1	39	Carcharhinus
New_Hampshire	Rhode_Island	5	29	Giant_Panda
Tennessee	Japan	8	19	Scoliodon
Connecticut	Tonga	5	39	Beaver
New_Hampshire	NEW_ZEALAND	9	30	Camel
Alaska	Rhode_Island	4	59	Orectolobus
Maryland	Washington	2	79	Zebra
Arkansas	Ireland	7	21	Mallard
Maine	TRINIDAD_AND_TOBAGO	1	40	Chamois
Kansas	California	4	27	Fox
Rhode_Island	Uzbekistan	5	81	Parmaturus
Ohio	Turkey	9	13	Manatee
North_Dakota	Italy	9	95	Orectolobus
Arizona	Monaco	0	77	Giraffe
Kentucky	South_Carolina	8	55	Goose
Louisiana	Italy	4	16	Magpie
Nebraska	DOMINICAN_REPUBLIC	2	69	Sphyrna_lewini
Rhode_Island	MARSHALL_ISLANDS	4	46	Pelican
Maine	Slovenia	7	65	Black_panther
Virginia	Guatemala	3	81	Coyote
Minnesota	Hawaii	9	69	American_Bison
Kentucky	Nepal	9	72	Fish
Hawaii	Singapore	5	50	Lamniformes
Washington	Mississippi	6	66	Guanaco
Kansas	Tanzania	0	8	Skunk
Arkansas	Sweden	8	96	Giraffe
Wyoming	Finland	1	4	Anatidae
New_Jersey	Finland	3	22	Manatee
Wisconsin	Taiwan	5	49	Manatee
North_Carolina	Malawi	1	0	Hornet
Georgia	Monaco	2	56	Swan
California	North_Carolina	9	53	Gorilla
Florida	Madagascar	9	9	Negaprion
Utah	Pennsylvania	3	65	Swan
Michigan	Namibia	5	30	Triaenodon
Idaho	Wisconsin	3	46	Poroderma
Idaho	Greece	1	26	Human
Texas	Mississippi	0	84	Lamniformes
Kentucky	Maine	2	51	Gazelle
Idaho	New_Mexico	0	68	Rhinoceros
Maryland	Mozambique	3	21	Pelican
Alabama	Mozambique	4	9	Heron
New_Mexico	Rhode_Island	2	1	Louse
Indiana	Japan	6	57	Angel_shark
Texas	Missouri	4	2	Fish
Alabama	Ireland	1	65	Lamniformes
Minnesota	DOMINICAN_REPUBLIC	1	1	Coccinellidae
Arizona	Japan	6	50	Mule
Colorado	Ethiopia	6	66	Coyote
Maine	MARSHALL_ISLANDS	1	0	Apristurus
Massachusetts	Denmark	0	45	Bullhead_shark
South_Dakota	Kiribati	4	54	Beaver
Georgia	MARSHALL_ISLANDS	7	18	Gorilla
Louisiana	Ukraine	3	36	Pristiophorus
New_Jersey	Tonga	3	93	Rhizoprionodon
Washington	Tuvalu	8	40	Pinniped
Wyoming	Arizona	8	21	Angel_shark
North_Dakota	Alaska	7	78	Gorilla
Pennsylvania	Guatemala	8	88	Hornet
Florida	Jordan	2	55	Sheep
Delaware	Tennessee	0	39	Triaenodon
Minnesota	Switzerland	5	1	Alligator
Nevada	Minnesota	0	46	Heron
Nevada	Namibia	9	81	Magpie
North_Carolina	Switzerland	9	82	Anatidae
Wisconsin	Arizona	1	62	Partridge
Missouri	Malta	3	28	Fox
Florida	Ghana	5	60	Skunk
Kansas	Nigeria	4	82	Parmaturus
Missouri	Grenada	4	32	Jaguar
Virginia	Ukraine	7	2	Lamna
Missouri	Finland	1	58	Skunk
Connecticut	Italy	1	87	Isurus
Utah	New_Jersey	3	3	Donkey
Utah	Colombia	1	66	Louse
Tennessee	Serbia	0	3	Bison
Connecticut	Slovakia	7	0	Pony
Florida	Australia	9	29	Moose
Tennessee	Morocco	5	1	Dolphin
Nebraska	MARSHALL_ISLANDS	3	68	Reindeer
Minnesota	Uganda	7	37	Anatidae
Hawaii	Tonga	1	0	Giraffe
North_Carolina	Netherlands	9	11	Manatee
West Virginia	Singapore	2	44	Partridge
Maine	Illinois	4	42	Apristurus
Nebraska	Malaysia	7	87	Pygmy_Shark
Hawaii	Uruguay	8	82	Angel_shark
New_Jersey	Mississippi	5	68	Hawk
Mississippi	Sudan	3	36	Polecat
Colorado	Tonga	3	91	Black_panther
Oregon	Illinois	1	17	Raven
Indiana	Minnesota	8	5	Pristiophorus
Tennessee	Malaysia	8	51	Gazelle
Iowa	Kiribati	1	38	Nightingale
Idaho	Grenada	5	69	Echinorhinus
Oregon	Nauru	6	25	Hemitriakis
New_Hampshire	Zambia	2	46	Jaguar
Alabama	Slovenia	3	6	Lamniformes
Nevada	Romania	6	19	Columbidae
Illinois	Vatican_City	6	62	Goldfinch
Maine	Zimbabwe	4	89	Cormorant
Arizona	Jordan	9	32	Poroderma
Idaho	CZECH_REPUBLIC	8	36	Orectolobus
Rhode_Island	Jordan	4	82	Prionace_glauca
Nebraska	Ireland	6	28	Rhinoceros
Georgia	NEW_ZEALAND	1	49	Jackal
Connecticut	New_Jersey	0	74	Swan
Indiana	Zimbabwe	5	29	Donkey
New_Jersey	Nepal	6	79	Quail
Florida	Wisconsin	8	42	Rhinoceros
Louisiana	Wyoming	2	57	Wombat
Alaska	Taiwan	5	4	Chiloscyllium
Colorado	Louisiana	1	98	Dolphin
Mississippi	Singapore	6	20	Beaver
Nevada	Switzerland	8	35	Wren
Illinois	Serbia	4	10	Baboon
North_Carolina	Texas	1	14	Raven
Arizona	Malaysia	1	45	Manatee
Pennsylvania	Tanzania	0	89	Otter
Oklahoma	Luxembourg	6	81	Lamna
South_Dakota	Nigeria	1	48	Isogomphodon
Michigan	Nigeria	7	20	Swan
Maryland	Grenada	6	2	Crow
Nebraska	Malaysia	8	0	Skunk
Wisconsin	Wyoming	1	72	Pristiophorus
Minnesota	Ecuador	8	90	Nightingale
Virginia	Grenada	1	32	Cheetah
New_Mexico	Luxembourg	3	85	Poroderma
Alaska	Serbia	7	85	Sawshark
Massachusetts	Texas	0	92	Isurus
Massachusetts	EQUATORIAL_GUINEA	1	26	Badger
Texas	EL_SALVADOR	0	55	Swan
Kansas	Grenada	0	39	Parmaturus
Vermont	Croatia	6	53	Giraffe
Nevada	MARSHALL_ISLANDS	1	82	Zebra
Maryland	Zimbabwe	4	13	Baboon
Missouri	California	8	98	Magpie
South_Carolina	North_Carolina	9	86	Bison
Missouri	Malawi	5	70	Polecat
Pennsylvania	NEW_ZEALAND	7	78	Scoliodon
Texas	Zimbabwe	4	23	Squaliformes
Florida	Malaysia	8	66	Otter
Kentucky	Luxembourg	9	58	Isogomphodon
Massachusetts	Louisiana	7	77	Chiloscyllium
Oklahoma	Maine	4	69	Pygmy_Shark
Mississippi	Morocco	3	54	Guanaco
Maine	Texas	3	53	Carcharhiniformes
Mississippi	Canada	5	72	Goldfinch
Montana	Illinois	9	10	Quail
South_Dakota	Colombia	5	41	Hawk
South_Dakota	Massachusetts	7	69	Reindeer
Vermont	Romania	8	2	Pelican
Utah	Slovenia	6	57	Pristiophorus
Pennsylvania	Ghana	0	17	Partridge
Alaska	Alabama	5	23	Jackal
Mississippi	Washington	6	71	Rhizoprionodon
Texas	Ethiopia	3	12	Jaguar
Oregon	Taiwan	6	38	Baboon
Arizona	Pennsylvania	9	66	Mallard
Hawaii	Alabama	7	59	Sawshark
Minnesota	Nauru	0	49	Magpie
Oklahoma	EQUATORIAL_GUINEA	1	50	Sphyrna_lewini
Oregon	Wisconsin	6	38	Dolphin
Washington	DOMINICAN_REPUBLIC	7	46	Rhizoprionodon
Virginia	Texas	3	83	Otter
Massachusetts	Spain	8	48	Moose
Iowa	DOMINICAN_REPUBLIC	7	74	Flamingo
Alaska	Pennsylvania	3	38	American_Bison
Indiana	France	1	54	Lion
Arizona	CZECH_REPUBLIC	8	92	Isurus
South_Dakota	Colombia	5	50	Camel
Wyoming	Missouri	6	41	Lion
Connecticut	Tonga	5	21	Negaprion
Texas	New_Mexico	9	95	Rhizoprionodon
South_Carolina	Virginia	5	15	Fish
California	Texas	2	29	Badger
Virginia	New_Mexico	9	59	Magpie
Rhode_Island	Colombia	7	65	Gorilla
Utah	Ecuador	2	26	Alligator
New_Jersey	Greece	6	95	Magpie
Alabama	Hawaii	4	75	Gazelle
Maine	Kiribati	5	65	Squaliformes
Utah	CZECH_REPUBLIC	9	60	Heron
New_Mexico	Latvia	7	90	Hemiscyllium
Utah	Missouri	2	11	Rhizoprionodon
Illinois	Alabama	1	56	Raven
Colorado	Saudi_Arabia	9	52	Mallard
West Virginia	COSTA_RICA	4	46	Apristurus
Iowa	Romania	9	24	Dolphin
Mississippi	Denmark	8	30	Baboon
Mississippi	Georgia	0	78	Louse
New_Jersey	Missouri	9	96	Alligator
Nebraska	Namibia	8	62	Black_panther
Pennsylvania	Namibia	0	16	Pygmy_Shark
South_Dakota	Guatemala	1	89	Coyote
Michigan	Malta	9	40	Lion
Oklahoma	Spain	6	7	Ram
Maine	Grenada	1	15	Gazelle
Alaska	Turkey	3	56	Alligator
Ohio	Australia	9	3	Squaliformes
Wyoming	Minnesota	8	2	Manatee
Colorado	Arizona	2	56	Black_panther
Wisconsin	Cyprus	4	97	Badger
Wyoming	Samoa	5	65	Columbidae
Pennsylvania	Massachusetts	9	5	Bullhead_shark
New_York	Serbia	3	23	Apristurus
Indiana	Japan	3	22	Dogfish
Florida	Maine	9	82	Dogfish
New_Jersey	Zambia	7	83	American_Bison
Maine	Netherlands	7	54	Negaprion
Delaware	Vatican_City	2	34	Beaver
Montana	Thailand	7	3	Hamster
Oklahoma	Zimbabwe	9	12	Coyote
Indiana	Barbados	7	42	Ostrich
Missouri	Virginia	0	94	Otter
Iowa	Ghana	7	3	Goose
Florida	Singapore	6	75	Orectolobus
North_Carolina	Thailand	1	11	Bison
Oklahoma	Samoa	2	94	Hawk
Alaska	Slovakia	6	69	Partridge
Idaho	Texas	6	55	Columbidae
California	Slovakia	7	59	Isurus
Delaware	Nebraska	7	20	Pygmy_Shark
Indiana	Barbados	9	64	Sawshark
New_York	Rhode_Island	8	38	Magpie
California	Pennsylvania	3	10	Isogomphodon
North_Dakota	Wyoming	8	55	Quail
Hawaii	Nepal	6	63	Raven
California	Georgia	5	35	Dogfish
Indiana	Samoa	4	81	Pony
Washington	Finland	9	8	Triakis
Delaware	Malawi	1	98	Mule
Ohio	Sudan	8	89	Manatee
Kansas	California	3	63	Zebra
North_Dakota	Zambia	2	34	Dolphin
South_Carolina	Thailand	7	76	Carcharhinus
Oregon	Texas	2	2	Dogfish
Indiana	Finland	2	45	Louse
North_Dakota	Tanzania	6	44	Pelican
Texas	CZECH_REPUBLIC	5	23	Rhinoceros
Illinois	Spain	9	96	Reindeer
Kentucky	WESTERN_SAHARA	3	62	Zebra
Arizona	Malaysia	8	83	Parmaturus
Wyoming	Jordan	7	16	Lamniformes
Utah	Spain	8	98	Fish
New_York	Kiribati	4	34	Sheep
Tennessee	Singapore	3	41	Peafowl
Virginia	Latvia	3	88	Crow
Florida	Taiwan	6	25	Badger
North_Dakota	NEW_ZEALAND	2	59	Hamster
Iowa	Oregon	4	63	Triaenodon
South_Dakota	Latvia	4	41	Wombat
Missouri	Uruguay	6	13	Snipe
New_York	Denmark	9	71	Ram
Idaho	Guatemala	6	95	Snipe
New_Hampshire	Maine	3	44	Dolphin
Louisiana	South_Carolina	0	38	Hemiscyllium
Oklahoma	Tennessee	2	47	Negaprion
Mississippi	Ghana	6	85	Prionace
West Virginia	Arizona	2	16	Beaver
New_Mexico	Finland	5	58	Black_panther
Colorado	North_Carolina	0	24	Crow
Louisiana	Romania	3	8	Coccinellidae
Mississippi	Uganda	6	57	Giant_Panda
Iowa	Romania	1	2	Rhizoprionodon
Arizona	Ghana	3	14	Triaenodon
Georgia	Louisiana	4	14	Coccinellidae
Ohio	Illinois	2	42	Giant_Panda
Ohio	New_Mexico	0	28	Orectolobus
Nebraska	Malta	5	66	Fish
Missouri	Switzerland	1	23	Squaliformes
Colorado	Ireland	4	10	Parascyllium
Pennsylvania	DOMINICAN_REPUBLIC	9	56	Pristiophorus
Missouri	Namibia	7	89	Partridge
Maryland	TRINIDAD_AND_TOBAGO	1	53	Pony
South_Dakota	Ecuador	7	10	Zebra
Wyoming	Tanzania	3	25	Triakis
Alaska	Grenada	1	66	Pelican
Massachusetts	Wisconsin	0	78	Poroderma
New_Mexico	Japan	1	93	Otter
Ohio	Malta	0	67	Lamniformes
Alabama	Virginia	8	10	Snipe
Pennsylvania	Tennessee	0	74	Goldfinch
Tennessee	Ecuador	5	91	Negaprion
Tennessee	Malta	7	69	Negaprion
New_Mexico	Samoa	0	96	Crow
Maine	Slovenia	9	72	Swan
Montana	Latvia	9	56	Echinorhinus
Illinois	New_Mexico	0	42	Moose
Utah	Namibia	9	76	Fish
Wisconsin	Lithuania	0	52	Parascyllium
North_Carolina	Georgia	7	49	Skunk
New_Jersey	France	5	85	Goldfinch
Illinois	California	4	4	Peafowl
Ohio	Turkey	4	5	Bullhead_shark
Texas	Croatia	0	80	Skunk
Arkansas	EQUATORIAL_GUINEA	8	1	Ram
New_Mexico	Samoa	0	68	Magpie
New_York	Monaco	8	19	Mouse
Nebraska	Ethiopia	8	49	Chiloscyllium
Arkansas	Slovenia	1	87	Bison
Iowa	Malaysia	3	57	Bullhead_shark
Delaware	Namibia	7	20	Polecat
Montana	Florida	7	10	Goldfinch
Delaware	Tuvalu	5	17	Wren
New_Hampshire	Texas	3	46	Jackal
South_Dakota	Malawi	5	55	Poroderma
Hawaii	Turkey	4	5	Rhizoprionodon
Mississippi	Kiribati	7	68	Flamingo
Mississippi	Pennsylvania	5	75	Goose
Wyoming	Grenada	4	79	Columbidae
North_Carolina	Grenada	7	14	Guanaco
Maine	Louisiana	3	82	Ostrich
Maryland	Wisconsin	5	62	Giant_Panda
Oklahoma	Oregon	5	65	Mallard
Michigan	Lithuania	6	65	Moose
Georgia	Samoa	4	74	Rhizoprionodon
Idaho	Latvia	0	10	Carcharhinus
Hawaii	Turkey	3	42	Donkey
South_Carolina	Pennsylvania	1	1	Human
Alabama	Madagascar	0	52	Prionace_glauca
Kansas	North_Carolina	6	36	Guanaco
Massachusetts	Washington	5	29	Wren
Wyoming	Wyoming	6	55	Quail
Alabama	Saudi_Arabia	0	28	Zebra
North_Carolina	Grenada	2	30	Rhizoprionodon
Minnesota	Washington	1	27	Prionace_glauca
Oregon	CZECH_REPUBLIC	8	96	Skunk
Idaho	Nauru	5	77	Quail
Minnesota	Pennsylvania	8	5	Sawshark
Hawaii	Wisconsin	0	2	Baboon
Maine	Uruguay	9	10	Coccinellidae
Mississippi	COSTA_RICA	0	15	Coyote
Ohio	Vatican_City	7	16	Dolphin
Rhode_Island	Ethiopia	8	72	Isogomphodon
Michigan	Canada	4	52	Prionace_glauca
Arizona	Missouri	6	32	Goose
Minnesota	Oregon	9	25	Gorilla
Oregon	Missouri	3	21	Triaenodon
New_Mexico	Pennsylvania	3	75	Chamois
New_Mexico	Tennessee	3	71	Donkey
Oregon	Ireland	2	88	Ram
Wyoming	Serbia	1	34	Crow
Oregon	South_Carolina	4	53	Quail
Mississippi	Maryland	7	90	Fish
Virginia	North_Carolina	6	77	Parascyllium
West Virginia	Nebraska	9	41	Badger
New_Jersey	Romania	4	48	Bison
Illinois	New_Mexico	0	11	Bullhead_shark
Pennsylvania	Alaska	6	9	Mouse
Kansas	Hawaii	6	86	Lamniformes
California	Arizona	5	35	Gorilla
Oregon	Hawaii	4	10	Whale_Shark
North_Carolina	Guatemala	2	45	Goldfinch
North_Carolina	Latvia	8	89	Giraffe
Indiana	Barbados	3	99	Guanaco
Nevada	France	3	95	Fish
Maine	COSTA_RICA	9	46	Anatidae
Oklahoma	Florida	8	11	Mallard
Colorado	New_Mexico	0	31	Hamster
Tennessee	Nauru	7	32	Dolphin
Oklahoma	Thailand	7	23	Swan
Wisconsin	NEW_ZEALAND	3	39	Swan
Louisiana	Sudan	7	93	Giant_Panda
Louisiana	Mississippi	8	34	Human
Oklahoma	Thailand	1	67	Cirrhoscyllium
Arizona	Vatican_City	1	81	Cormorant
Mississippi	Greece	0	17	Nightingale
Virginia	Florida	3	0	Dolphin
North_Dakota	Minnesota	8	94	Columbidae
Mississippi	Grenada	9	24	Prionace_glauca
Michigan	Colombia	0	88	Beaver
South_Dakota	Madagascar	0	67	Black_panther
Alabama	Ireland	1	21	Hyena
Pennsylvania	Switzerland	7	89	Hawk
Kentucky	Canada	2	13	Mouse
Texas	Washington	2	52	Pristiophorus
North_Carolina	Zimbabwe	0	91	Scoliodon
Illinois	Denmark	7	44	Scoliodon
Utah	Finland	4	5	Reindeer
Hawaii	Uzbekistan	2	62	Triakis
California	Uzbekistan	6	25	Goose
Alaska	North_Carolina	4	77	Zebra
Nevada	NEW_ZEALAND	9	64	Gorilla
Maryland	Grenada	2	59	Giraffe
Arkansas	Pennsylvania	2	7	Baboon
Maine	Ethiopia	1	34	Cirrhoscyllium
Michigan	California	1	67	Mouse
West Virginia	Hawaii	8	26	Hawk
Delaware	Nebraska	4	48	Bullhead_shark
New_York	California	6	56	Apristurus
Florida	Denmark	8	15	Polecat
Utah	TRINIDAD_AND_TOBAGO	5	87	Angel_shark
Vermont	TRINIDAD_AND_TOBAGO	4	49	Wombat
Ohio	Spain	9	12	Isogomphodon
Pennsylvania	Ukraine	2	76	Columbidae
Virginia	Tunisia	0	37	Badger
Washington	New_Mexico	5	80	Hyena
Maryland	Monaco	9	20	Beaver
Arizona	Slovakia	5	41	Hawk
South_Carolina	Turkey	9	21	Hamster
Idaho	Croatia	5	28	Sheep
Rhode_Island	Kiribati	7	9	Manatee
Massachusetts	Cyprus	6	67	Hemitriakis
Arizona	Tonga	7	17	Carcharhiniformes
North_Dakota	Slovenia	5	8	Hemiscyllium
Michigan	Luxembourg	4	16	Pristiophorus
Montana	Texas	3	7	Prionace
Idaho	Dominica	9	80	Heron
Nevada	Zambia	0	34	Bullhead_shark
Maine	Italy	1	50	Pygmy_Shark
North_Carolina	Michigan	7	49	Isurus
Tennessee	Malawi	4	9	Donkey
Ohio	Hawaii	8	49	Wren
Wisconsin	Florida	8	2	Camel
New_Jersey	Malaysia	0	64	Orectolobus
Texas	Kiribati	1	7	Flamingo
Georgia	Nepal	3	49	Triaenodon
Pennsylvania	Louisiana	8	47	Jackal
Iowa	New_Mexico	9	39	Coyote
New_Mexico	Dominica	9	44	Fish
Mississippi	Missouri	6	18	Otter
Maine	Florida	6	4	Angel_shark
Arkansas	WESTERN_SAHARA	6	8	Mallard
North_Dakota	Sudan	8	10	Black_panther
Texas	DOMINICAN_REPUBLIC	5	83	Heron
Washington	Oregon	6	22	Cormorant
Michigan	Missouri	0	31	Poroderma
Illinois	Sweden	1	99	Otter
Mississippi	Florida	0	11	Cirrhoscyllium
Massachusetts	Zambia	7	77	Zebra
Iowa	Tanzania	8	53	Lion
Illinois	Finland	0	89	Carcharhinus
Oklahoma	Lithuania	6	47	Lamniformes
Michigan	Ukraine	9	64	Moose
Washington	Italy	1	74	Dolphin
New_Mexico	Michigan	0	74	Otter
Kansas	Michigan	1	47	Orectolobus
Wyoming	Dominica	8	5	Anatidae
South_Carolina	Nigeria	7	5	Pony
Oklahoma	COSTA_RICA	6	88	Gazelle
Minnesota	Guatemala	6	93	Apristurus
Kansas	California	1	89	Alligator
North_Dakota	Samoa	3	37	Isogomphodon
North_Dakota	Netherlands	1	53	Pristiophorus
Oregon	Illinois	4	98	Cheetah
Michigan	Tonga	7	10	Donkey
Vermont	Guatemala	9	31	Hamster
Ohio	Turkey	0	35	Pelican
Kansas	Mississippi	4	81	Isurus
Indiana	Dominica	5	66	Anatidae
Illinois	New_Mexico	3	89	Quail
Minnesota	Alabama	7	34	Partridge
